,postal_code,state_id,state,city,county_name,2021,All_Residential,Multi_Family_homes,Condo/Co-op,Single_Family_Homes,Towmhomes
0,45784,OH,Ohio,Vincent,Washington,248810.0,12,0,0,12,0
1,76114,TX,Texas,Fort Worth,Tarrant,261764.0,12,8,12,12,7
2,91405,CA,California,Van Nuys,Los Angeles,663543.0,12,8,12,12,12
3,60157,IL,Illinois,Medinah,DuPage,419458.0,12,0,0,12,0
4,50309,IA,Iowa,Des Moines,Polk,230289.0,12,0,12,10,0
5,53222,WI,Wisconsin,Milwaukee,Milwaukee,167966.0,12,12,12,12,1
6,34715,FL,Florida,Clermont,Lake,357411.0,12,4,4,12,6
7,38128,TN,Tennessee,Memphis,Shelby,95555.0,12,4,12,12,3
8,49107,MI,Michigan,Buchanan,Berrien,159171.0,12,9,0,12,0
9,1844,MA,Massachusetts,Methuen,Essex,420028.0,12,12,12,12,12
10,12725,NY,New York,Claryville,Ulster,367250.0,8,0,0,8,0
11,48203,MI,Michigan,Highland Park,Wayne,77647.0,12,7,6,12,0
12,83622,ID,Idaho,Garden Valley,Boise,532542.0,12,0,0,12,0
13,93534,CA,California,Lancaster,Los Angeles,331071.0,12,12,12,12,5
14,74137,OK,Oklahoma,Tulsa,Tulsa,300065.0,12,0,12,12,3
15,2150,MA,Massachusetts,Chelsea,Suffolk,521998.0,12,12,12,12,12
16,78746,TX,Texas,Austin,Travis,1158200.0,12,11,12,12,6
17,6790,CT,Connecticut,Torrington,Litchfield,166529.0,12,12,12,12,0
18,4222,ME,Maine,Durham,Androscoggin,354704.0,12,0,3,12,0
19,72113,AR,Arkansas,Maumelle,Pulaski,226389.0,12,6,12,12,11
20,19006,PA,Pennsylvania,Huntingdon Valley,Montgomery,461538.0,12,3,12,12,12
21,55956,MN,Minnesota,Mazeppa,Wabasha,206138.0,12,0,0,12,0
22,55123,MN,Minnesota,Saint Paul,Dakota,321621.0,12,9,12,12,12
23,7935,NJ,New Jersey,Green Village,Morris,1355630.0,10,3,0,10,0
24,10901,NY,New York,Suffern,Rockland,414402.0,12,12,12,12,8
25,14519,NY,New York,Ontario,Wayne,225365.0,12,3,0,12,8
26,90230,CA,California,Culver City,Los Angeles,1033737.0,12,10,12,12,12
27,87015,NM,New Mexico,Edgewood,Santa Fe,334086.0,12,1,0,12,0
28,8863,NJ,New Jersey,Fords,Middlesex,383424.0,12,8,10,12,0
29,78801,TX,Texas,Uvalde,Uvalde,192629.0,12,0,0,12,0
30,96776,HI,Hawaii,Paauilo,Hawaii,638760.0,12,1,0,12,0
31,40067,KY,Kentucky,Simpsonville,Shelby,308649.0,12,0,11,12,3
32,74014,OK,Oklahoma,Broken Arrow,Wagoner,242484.0,12,0,0,12,0
33,89146,NV,Nevada,Las Vegas,Clark,331847.0,12,6,12,12,12
34,17368,PA,Pennsylvania,Wrightsville,York,187985.0,12,6,0,12,12
35,48180,MI,Michigan,Taylor,Wayne,128273.0,12,5,12,12,0
36,30474,GA,Georgia,Vidalia,Toombs,160688.0,12,3,0,12,0
37,6777,CT,Connecticut,New Preston Marble Dale,Litchfield,627333.0,12,0,0,12,0
38,50317,IA,Iowa,Des Moines,Polk,163360.0,12,12,12,12,0
39,14750,NY,New York,Lakewood,Chautauqua,177365.0,12,4,0,12,6
40,13036,NY,New York,Central Square,Oswego,205549.0,12,6,0,12,4
41,21236,MD,Maryland,Nottingham,Baltimore,261965.0,12,3,12,12,12
42,70005,LA,Louisiana,Metairie,Jefferson,356854.0,12,11,12,12,10
43,8833,NJ,New Jersey,Lebanon,Hunterdon,569581.0,12,0,3,12,3
44,17964,PA,Pennsylvania,Pitman,Schuylkill,195450.0,6,0,0,6,0
45,60012,IL,Illinois,Crystal Lake,McHenry,300712.0,12,2,10,12,12
46,78542,TX,Texas,Edinburg,Hidalgo,221345.0,12,12,3,12,0
47,27051,NC,North Carolina,Walkertown,Forsyth,224661.0,12,2,0,12,12
48,27539,NC,North Carolina,Apex,Wake,450662.0,12,0,0,12,12
49,53226,WI,Wisconsin,Milwaukee,Milwaukee,277608.0,12,12,12,12,0
50,60712,IL,Illinois,Lincolnwood,Cook,394196.0,12,8,12,12,12
51,78210,TX,Texas,San Antonio,Bexar,285897.0,12,11,12,12,11
52,7302,NJ,New Jersey,Jersey City,Hudson,1042566.0,12,12,12,12,0
53,33181,FL,Florida,Miami,Miami-Dade,543268.0,12,9,12,12,12
54,94550,CA,California,Livermore,Alameda,904043.0,12,9,12,12,12
55,11783,NY,New York,Seaford,Nassau,587112.0,12,5,9,12,0
56,78733,TX,Texas,Austin,Travis,975805.0,12,7,3,12,6
57,44303,OH,Ohio,Akron,Summit,166181.0,12,10,12,12,5
58,97378,OR,Oregon,Sheridan,Yamhill,329318.0,12,6,0,12,7
59,11704,NY,New York,West Babylon,Suffolk,435090.0,12,11,12,12,0
60,8854,NJ,New Jersey,Piscataway,Middlesex,357672.0,12,4,12,12,2
61,85351,AZ,Arizona,Sun City,Maricopa,229990.0,12,0,12,12,12
62,77901,TX,Texas,Victoria,Victoria,172437.0,12,12,6,12,12
63,2746,MA,Massachusetts,New Bedford,Bristol,324468.0,12,12,9,12,0
64,37181,TN,Tennessee,Vanleer,Dickson,205225.0,10,0,0,10,0
65,48428,MI,Michigan,Dryden,Lapeer,320366.0,12,3,2,12,0
66,27527,NC,North Carolina,Clayton,Johnston,333318.0,12,3,0,12,12
67,49022,MI,Michigan,Benton Harbor,Berrien,184929.0,12,9,9,12,0
68,21157,MD,Maryland,Westminster,Carroll,292123.0,12,7,12,12,12
69,97385,OR,Oregon,Sublimity,Marion,542231.0,12,6,0,12,0
70,85730,AZ,Arizona,Tucson,Pima,193517.0,12,0,12,12,12
71,70115,LA,Louisiana,New Orleans,Orleans,516259.0,12,12,12,12,2
72,23235,VA,Virginia,Richmond,Chesterfield,273570.0,12,3,12,12,12
73,56165,MN,Minnesota,Reading,Nobles,215000.0,6,0,0,6,0
74,30805,GA,Georgia,Blythe,Richmond,276750.0,12,0,0,12,0
75,84078,UT,Utah,Vernal,Uintah,181013.0,12,12,12,12,12
76,33170,FL,Florida,Miami,Miami-Dade,383738.0,12,9,0,12,9
77,3048,NH,New Hampshire,Greenville,Hillsborough,332836.0,12,11,3,12,0
78,29680,SC,South Carolina,Simpsonville,Greenville,255215.0,12,0,7,12,10
79,11214,NY,New York,Brooklyn,Kings,963373.0,12,12,12,12,11
80,11801,NY,New York,Hicksville,Nassau,623194.0,12,7,0,12,0
81,53059,WI,Wisconsin,Neosho,Dodge,250278.0,12,3,0,12,0
82,17543,PA,Pennsylvania,Lititz,Lancaster,301166.0,12,10,5,12,12
83,53130,WI,Wisconsin,Hales Corners,Milwaukee,310958.0,12,9,6,12,0
84,92119,CA,California,San Diego,San Diego,647042.0,12,0,12,12,12
85,56573,MN,Minnesota,Perham,Otter Tail,235453.0,12,4,0,12,3
86,53403,WI,Wisconsin,Racine,Racine,161741.0,12,12,12,12,0
87,92626,CA,California,Costa Mesa,Orange,989121.0,12,12,12,12,12
88,97053,OR,Oregon,Warren,Columbia,640292.0,12,0,0,12,0
89,95968,CA,California,Palermo,Butte,262083.0,12,0,0,12,0
90,23435,VA,Virginia,Suffolk,Suffolk,305754.0,12,10,12,12,12
91,20707,MD,Maryland,Laurel,Prince George's,326648.0,12,1,12,12,12
92,10933,NY,New York,Johnson,Orange,353770.0,11,3,0,11,0
93,79541,TX,Texas,Ovalo,Taylor,368941.0,12,0,0,12,0
94,2476,MA,Massachusetts,Arlington,Middlesex,897147.0,12,12,12,12,11
95,29649,SC,South Carolina,Greenwood,Greenwood,228508.0,12,0,0,12,0
96,56175,MN,Minnesota,Tracy,Lyon,99258.0,12,0,0,12,0
97,80027,CO,Colorado,Louisville,Boulder,673121.0,12,0,12,12,12
98,34996,FL,Florida,Stuart,Martin,467943.0,12,3,12,12,5
99,45240,OH,Ohio,Cincinnati,Hamilton,172169.0,12,7,12,12,6
100,37167,TN,Tennessee,Smyrna,Rutherford,296888.0,12,3,8,12,12
101,6437,CT,Connecticut,Guilford,New Haven,402140.0,12,9,12,12,0
102,99212,WA,Washington,Spokane,Spokane,332142.0,12,12,12,12,4
103,92220,CA,California,Banning,Riverside,316724.0,12,9,12,12,4
104,87027,NM,New Mexico,La Jara,Sandoval,200000.0,7,0,0,7,0
105,95935,CA,California,Dobbins,Yuba,457136.0,11,0,0,11,0
106,15668,PA,Pennsylvania,Murrysville,Westmoreland,271687.0,12,0,12,12,9
107,64477,MO,Missouri,Plattsburg,Clinton,203392.0,12,0,0,12,0
108,53561,WI,Wisconsin,Merrimac,Sauk,357307.0,12,0,11,12,5
109,46280,IN,Indiana,Indianapolis,Hamilton,256245.0,12,9,12,12,0
110,95620,CA,California,Dixon,Solano,568206.0,12,10,0,12,0
111,33060,FL,Florida,Pompano Beach,Broward,339062.0,12,12,12,12,12
112,92242,CA,California,Earp,San Bernardino,191593.0,12,3,0,12,0
113,6763,CT,Connecticut,Morris,Litchfield,462083.0,12,0,0,12,0
114,55927,MN,Minnesota,Dodge Center,Dodge,196180.0,12,0,0,12,5
115,6051,CT,Connecticut,New Britain,Hartford,180894.0,12,12,12,12,0
116,92673,CA,California,San Clemente,Orange,1073231.0,12,6,12,12,12
117,93285,CA,California,Wofford Heights,Kern,344229.0,12,0,0,12,0
118,75105,TX,Texas,Chatfield,Navarro,636429.0,7,0,0,7,0
119,10473,NY,New York,Bronx,Bronx,528745.0,12,12,12,12,4
120,33950,FL,Florida,Punta Gorda,Charlotte,431015.0,12,11,12,12,8
121,44126,OH,Ohio,Cleveland,Cuyahoga,219316.0,12,7,12,12,6
122,53182,WI,Wisconsin,Union Grove,Racine,285468.0,12,11,11,12,0
123,91761,CA,California,Ontario,San Bernardino,546317.0,12,11,12,12,11
124,95926,CA,California,Chico,Butte,365575.0,12,12,12,12,2
125,2148,MA,Massachusetts,Malden,Middlesex,568302.0,12,12,12,12,12
126,83323,ID,Idaho,Declo,Cassia,270000.0,6,0,0,6,0
127,33418,FL,Florida,Palm Beach Gardens,Palm Beach,465108.0,12,5,12,12,12
128,91214,CA,California,La Crescenta,Los Angeles,940827.0,12,7,12,12,12
129,27522,NC,North Carolina,Creedmoor,Granville,270002.0,12,4,0,12,8
130,4003,ME,Maine,Bailey Island,Cumberland,621333.0,12,0,0,12,0
131,98351,WA,Washington,Longbranch,Pierce,421701.0,12,0,0,12,0
132,62284,IL,Illinois,Smithboro,Bond,155227.0,11,0,0,11,0
133,60514,IL,Illinois,Clarendon Hills,DuPage,422852.0,12,0,12,12,12
134,68048,NE,Nebraska,Plattsmouth,Cass,208037.0,12,3,3,12,12
135,35243,AL,Alabama,Birmingham,Jefferson,318451.0,12,0,12,12,12
136,21201,MD,Maryland,Baltimore,Baltimore,274779.0,12,12,12,8,12
137,62264,IL,Illinois,New Athens,St. Clair,107918.0,12,1,0,12,0
138,11542,NY,New York,Glen Cove,Nassau,648788.0,12,12,12,12,11
139,6119,CT,Connecticut,West Hartford,Hartford,319734.0,12,12,12,12,0
140,97038,OR,Oregon,Molalla,Clackamas,398092.0,12,7,2,12,12
141,48217,MI,Michigan,Detroit,Wayne,42224.0,12,5,0,12,0
142,12477,NY,New York,Saugerties,Ulster,299812.0,12,10,4,12,11
143,48634,MI,Michigan,Linwood,Bay,156241.0,12,0,0,12,0
144,91103,CA,California,Pasadena,Los Angeles,897850.0,12,12,12,12,12
145,13057,NY,New York,East Syracuse,Onondaga,160117.0,12,12,8,12,12
146,97486,OR,Oregon,Umpqua,Douglas,600417.0,12,0,0,12,0
147,83336,ID,Idaho,Heyburn,Minidoka,309672.0,12,6,0,12,3
148,38120,TN,Tennessee,Memphis,Shelby,299436.0,12,0,12,12,3
149,53588,WI,Wisconsin,Spring Green,Sauk,302563.0,12,3,3,12,0
150,55373,MN,Minnesota,Rockford,Wright,327722.0,12,6,0,12,12
151,94014,CA,California,Daly City,San Mateo,1078885.0,12,12,12,12,11
152,8242,NJ,New Jersey,Rio Grande,Cape May,286034.0,12,0,9,12,12
153,90291,CA,California,Venice,Los Angeles,1790128.0,12,12,12,12,12
154,80110,CO,Colorado,Englewood,Arapahoe,466884.0,12,12,12,12,12
155,35173,AL,Alabama,Trussville,Jefferson,291377.0,12,0,3,12,8
156,84651,UT,Utah,Payson,Utah,364621.0,12,7,12,12,12
157,34957,FL,Florida,Jensen Beach,Martin,363139.0,12,8,12,12,12
158,96779,HI,Hawaii,Paia,Maui,1607393.0,12,3,6,12,3
159,53150,WI,Wisconsin,Muskego,Waukesha,331828.0,12,8,12,12,0
160,48023,MI,Michigan,Fair Haven,St. Clair,258978.0,12,3,0,12,0
161,11804,NY,New York,Old Bethpage,Nassau,750292.0,12,0,0,12,0
162,84040,UT,Utah,Layton,Davis,438754.0,12,4,8,12,12
163,29501,SC,South Carolina,Florence,Florence,213631.0,12,3,1,12,0
164,35146,AL,Alabama,Springville,St. Clair,255082.0,12,0,0,12,3
165,33032,FL,Florida,Homestead,Miami-Dade,299209.0,12,4,12,12,12
166,28210,NC,North Carolina,Charlotte,Mecklenburg,377878.0,12,3,12,12,12
167,93726,CA,California,Fresno,Fresno,278982.0,12,6,12,12,0
168,14551,NY,New York,Sodus,Wayne,144086.0,12,5,0,12,0
169,60610,IL,Illinois,Chicago,Cook,902888.0,12,10,12,12,12
170,95117,CA,California,San Jose,Santa Clara,1245745.0,12,12,12,12,12
171,29434,SC,South Carolina,Cordesville,Berkeley,299440.0,10,0,0,10,0
172,36265,AL,Alabama,Jacksonville,Calhoun,165568.0,12,4,0,12,0
173,44483,OH,Ohio,Warren,Trumbull,96263.0,12,12,12,12,0
174,27560,NC,North Carolina,Morrisville,Wake,375645.0,12,0,12,12,12
175,4351,ME,Maine,Manchester,Kennebec,295226.0,12,0,11,12,0
176,2465,MA,Massachusetts,West Newton,Middlesex,1079921.0,12,10,12,12,12
177,43240,OH,Ohio,Columbus,Delaware,282794.0,12,0,12,12,0
178,32502,FL,Florida,Pensacola,Escambia,360722.0,12,3,12,12,12
179,44139,OH,Ohio,Solon,Cuyahoga,298400.0,12,5,11,12,0
180,91916,CA,California,Descanso,San Diego,571396.0,12,0,0,12,0
181,17104,PA,Pennsylvania,Harrisburg,Dauphin,96310.0,12,9,0,12,12
182,7059,NJ,New Jersey,Warren,Somerset,807053.0,12,0,0,12,0
183,45314,OH,Ohio,Cedarville,Greene,230621.0,12,5,3,12,1
184,55418,MN,Minnesota,Minneapolis,Hennepin,284105.0,12,12,12,12,12
185,94903,CA,California,San Rafael,Marin,1125635.0,12,9,12,12,10
186,72206,AR,Arkansas,Little Rock,Pulaski,139448.0,12,12,8,12,0
187,44134,OH,Ohio,Cleveland,Cuyahoga,151719.0,12,12,12,12,0
188,75205,TX,Texas,Dallas,Dallas,1130598.0,12,12,12,12,12
189,61770,IL,Illinois,Saybrook,McLean,120288.0,8,0,0,8,0
190,85541,AZ,Arizona,Payson,Gila,359250.0,12,6,8,12,7
191,85226,AZ,Arizona,Chandler,Maricopa,381884.0,12,0,12,12,12
192,7202,NJ,New Jersey,Elizabeth,Union,373812.0,12,12,9,12,0
193,56016,MN,Minnesota,Clarks Grove,Freeborn,146169.0,8,0,0,8,0
194,60177,IL,Illinois,South Elgin,Kane,253825.0,12,6,12,12,12
195,55012,MN,Minnesota,Center City,Chisago,360817.0,12,0,0,12,3
196,54245,WI,Wisconsin,Valders,Manitowoc,217114.0,12,6,5,12,0
197,35963,AL,Alabama,Dawson,DeKalb,197943.0,12,0,0,12,0
198,85268,AZ,Arizona,Fountain Hills,Maricopa,516128.0,12,12,12,12,12
199,11720,NY,New York,Centereach,Suffolk,483111.0,12,8,4,12,9
200,11558,NY,New York,Island Park,Nassau,600549.0,12,12,12,12,4
201,13682,NY,New York,Rodman,Jefferson,244615.0,12,0,0,12,0
202,29803,SC,South Carolina,Aiken,Aiken,217518.0,12,0,0,12,12
203,50233,IA,Iowa,Redfield,Dallas,137917.0,12,0,0,12,0
204,41086,KY,Kentucky,Sparta,Gallatin,176021.0,12,0,0,12,0
205,97267,OR,Oregon,Portland,Clackamas,470069.0,12,11,12,12,1
206,5083,VT,Vermont,West Fairlee,Orange,398750.0,8,0,0,8,0
207,7029,NJ,New Jersey,Harrison,Hudson,446752.0,12,12,12,11,1
208,84339,UT,Utah,Wellsville,Cache,487667.0,12,0,0,12,0
209,95713,CA,California,Colfax,Placer,471995.0,12,9,4,12,3
210,72152,AR,Arkansas,Sherrill,Jefferson,138571.0,7,0,0,7,0
211,85022,AZ,Arizona,Phoenix,Maricopa,341257.0,12,1,12,12,12
212,90027,CA,California,Los Angeles,Los Angeles,1401114.0,12,12,12,12,12
213,33312,FL,Florida,Fort Lauderdale,Broward,380593.0,12,12,12,12,12
214,51534,IA,Iowa,Glenwood,Mills,393930.0,10,0,0,10,0
215,33514,FL,Florida,Center Hill,Sumter,254573.0,11,0,0,11,0
216,7073,NJ,New Jersey,East Rutherford,Bergen,449025.0,12,12,12,12,9
217,92563,CA,California,Murrieta,Riverside,569792.0,12,11,12,12,12
218,93463,CA,California,Solvang,Santa Barbara,934494.0,12,3,12,12,0
219,35769,AL,Alabama,Scottsboro,Jackson,243078.0,12,0,0,12,3
220,32065,FL,Florida,Orange Park,Clay,243664.0,12,2,12,12,12
221,64730,MO,Missouri,Butler,Bates,158257.0,12,6,0,12,0
222,6518,CT,Connecticut,Hamden,New Haven,244621.0,12,6,12,12,0
223,72722,AR,Arkansas,Decatur,Benton,156213.0,12,3,0,12,0
224,21798,MD,Maryland,Woodsboro,Frederick,358584.0,12,5,4,12,3
225,34758,FL,Florida,Kissimmee,Osceola,259507.0,12,12,0,12,12
226,15330,PA,Pennsylvania,Eighty Four,Washington,370815.0,12,0,0,12,3
227,72738,AR,Arkansas,Hindsville,Madison,303542.0,12,0,0,12,0
228,38114,TN,Tennessee,Memphis,Shelby,65315.0,12,12,3,12,0
229,98581,WA,Washington,Ryderwood,Cowlitz,201500.0,12,0,0,12,0
230,94123,CA,California,San Francisco,San Francisco,2873981.0,12,12,12,12,5
231,43432,OH,Ohio,Graytown,Ottawa,184699.0,12,0,0,12,0
232,73025,OK,Oklahoma,Edmond,Oklahoma,365331.0,12,0,0,12,11
233,17554,PA,Pennsylvania,Mountville,Lancaster,253508.0,12,6,0,12,12
234,95660,CA,California,North Highlands,Sacramento,331703.0,12,12,12,12,0
235,68069,NE,Nebraska,Waterloo,Douglas,318232.0,12,0,0,12,5
236,53168,WI,Wisconsin,Salem,Kenosha,246324.0,12,3,8,12,0
237,55431,MN,Minnesota,Minneapolis,Hennepin,310533.0,12,6,12,12,11
238,20906,MD,Maryland,Silver Spring,Montgomery,368971.0,12,0,12,12,12
239,32807,FL,Florida,Orlando,Orange,221934.0,12,12,12,12,12
240,14136,NY,New York,Silver Creek,Chautauqua,129581.0,12,3,0,12,0
241,90623,CA,California,La Palma,Orange,762721.0,12,0,8,12,11
242,33604,FL,Florida,Tampa,Hillsborough,217529.0,12,12,9,12,11
243,21777,MD,Maryland,Point Of Rocks,Frederick,410583.0,12,0,0,12,2
244,15644,PA,Pennsylvania,Jeannette,Westmoreland,153806.0,12,10,3,12,12
245,36277,AL,Alabama,Weaver,Calhoun,139162.0,12,0,0,12,0
246,75423,TX,Texas,Celeste,Hunt,279292.0,12,0,0,12,0
247,83704,ID,Idaho,Boise,Ada,408260.0,12,12,12,12,12
248,49072,MI,Michigan,Mendon,St. Joseph,174017.0,12,0,0,12,0
249,33319,FL,Florida,Fort Lauderdale,Broward,206425.0,12,0,12,12,12
250,33476,FL,Florida,Pahokee,Palm Beach,150853.0,12,9,0,12,0
251,44704,OH,Ohio,Canton,Stark,66951.0,12,5,0,12,0
252,80011,CO,Colorado,Aurora,Arapahoe,410941.0,12,11,12,12,12
253,68066,NE,Nebraska,Wahoo,Saunders,193000.0,12,3,0,12,5
254,92395,CA,California,Victorville,San Bernardino,297444.0,12,11,12,12,7
255,92011,CA,California,Carlsbad,San Diego,1067260.0,12,2,12,12,12
256,40003,KY,Kentucky,Bagdad,Shelby,252404.0,11,0,0,11,0
257,5055,VT,Vermont,Norwich,Windsor,687141.0,12,3,0,12,3
258,32764,FL,Florida,Osteen,Volusia,381242.0,12,0,0,12,0
259,19977,DE,Delaware,Smyrna,Kent,313706.0,12,5,0,12,12
260,89147,NV,Nevada,Las Vegas,Clark,336746.0,12,5,12,12,12
261,77035,TX,Texas,Houston,Harris,175744.0,12,0,12,12,12
262,60050,IL,Illinois,Mchenry,McHenry,212680.0,12,9,12,12,12
263,94601,CA,California,Oakland,Alameda,706771.0,12,12,12,12,9
264,39211,MS,Mississippi,Jackson,Hinds,154667.0,12,5,12,12,12
265,33647,FL,Florida,Tampa,Hillsborough,291676.0,12,2,12,12,12
266,78238,TX,Texas,San Antonio,Bexar,251260.0,12,8,0,12,12
267,98087,WA,Washington,Lynnwood,Snohomish,665603.0,12,12,12,12,12
268,75061,TX,Texas,Irving,Dallas,271464.0,12,9,12,12,12
269,83813,ID,Idaho,Cocolalla,Bonner,439812.0,10,0,0,10,0
270,2462,MA,Massachusetts,Newton Lower Falls,Middlesex,1215929.0,12,3,6,12,0
271,80832,CO,Colorado,Ramah,El Paso,437189.0,12,3,0,12,0
272,54971,WI,Wisconsin,Ripon,Fond du Lac,163778.0,12,10,8,12,2
273,53098,WI,Wisconsin,Watertown,Dodge,248868.0,12,12,12,12,0
274,53551,WI,Wisconsin,Lake Mills,Jefferson,300506.0,12,6,12,12,3
275,33161,FL,Florida,Miami,Miami-Dade,327436.0,12,12,12,12,11
276,78650,TX,Texas,McDade,Bastrop,442923.0,12,0,0,12,0
277,30045,GA,Georgia,Lawrenceville,Gwinnett,279661.0,12,0,12,12,12
278,92009,CA,California,Carlsbad,San Diego,1035588.0,12,9,12,12,12
279,30030,GA,Georgia,Decatur,DeKalb,479406.0,12,11,12,12,12
280,32658,FL,Florida,La Crosse,Alachua,275791.0,6,0,0,6,0
281,48438,MI,Michigan,Goodrich,Genesee,308300.0,12,0,4,12,0
282,60137,IL,Illinois,Glen Ellyn,DuPage,370083.0,12,0,12,12,12
283,6897,CT,Connecticut,Wilton,Fairfield,744724.0,12,2,12,12,0
284,27401,NC,North Carolina,Greensboro,Guilford,177132.0,12,12,12,12,10
285,35071,AL,Alabama,Gardendale,Jefferson,196458.0,12,3,0,12,12
286,11548,NY,New York,Greenvale,Nassau,772021.0,12,0,0,12,0
287,56655,MN,Minnesota,Longville,Cass,297864.0,12,3,0,12,6
288,48032,MI,Michigan,Jeddo,St. Clair,244667.0,12,0,0,12,0
289,94563,CA,California,Orinda,Contra Costa,1472722.0,12,2,9,12,10
290,19606,PA,Pennsylvania,Reading,Berks,187641.0,12,10,12,12,12
291,14428,NY,New York,Churchville,Monroe,195312.0,12,5,0,12,12
292,10453,NY,New York,Bronx,Bronx,561662.0,12,12,7,3,3
293,1747,MA,Massachusetts,Hopedale,Worcester,380459.0,12,7,11,12,12
294,53960,WI,Wisconsin,Rio,Columbia,202033.0,12,6,0,12,0
295,98671,WA,Washington,Washougal,Clark,435285.0,12,6,12,12,9
296,28216,NC,North Carolina,Charlotte,Mecklenburg,263069.0,12,12,0,12,12
297,95811,CA,California,Sacramento,Sacramento,662734.0,12,12,12,12,10
298,80232,CO,Colorado,Denver,Jefferson,430094.0,12,3,12,12,12
299,95120,CA,California,San Jose,Santa Clara,1568044.0,12,0,9,12,12
300,33012,FL,Florida,Hialeah,Miami-Dade,270578.0,12,3,12,12,12
301,95404,CA,California,Santa Rosa,Sonoma,711012.0,12,12,12,12,9
302,32825,FL,Florida,Orlando,Orange,270584.0,12,3,12,12,12
303,31020,GA,Georgia,Dry Branch,Twiggs,221438.0,8,0,0,8,0
304,35980,AL,Alabama,Horton,Marshall,166842.0,12,0,0,12,0
305,5737,VT,Vermont,Chittenden,Rutland,388500.0,11,0,0,11,0
306,77665,TX,Texas,Winnie,Chambers,225254.0,12,0,0,12,0
307,44609,OH,Ohio,Beloit,Mahoning,127525.0,12,6,0,12,0
308,33629,FL,Florida,Tampa,Hillsborough,695599.0,12,12,12,12,12
309,41018,KY,Kentucky,Erlanger,Kenton,178697.0,12,12,12,12,9
310,33166,FL,Florida,Miami,Miami-Dade,365137.0,12,2,12,12,9
311,14572,NY,New York,Wayland,Steuben,110617.0,12,6,0,12,0
312,60607,IL,Illinois,Chicago,Cook,677415.0,12,11,12,11,12
313,1082,MA,Massachusetts,Ware,Hampshire,261459.0,12,8,3,12,0
314,33311,FL,Florida,Fort Lauderdale,Broward,256815.0,12,12,12,12,12
315,29607,SC,South Carolina,Greenville,Greenville,278776.0,12,9,12,12,12
316,75453,TX,Texas,Lone Oak,Hunt,276511.0,12,3,0,12,0
317,15613,PA,Pennsylvania,Apollo,Westmoreland,133071.0,12,8,3,12,0
318,60005,IL,Illinois,Arlington Heights,Cook,296291.0,12,0,12,12,12
319,7605,NJ,New Jersey,Leonia,Bergen,553830.0,12,11,12,12,8
320,77833,TX,Texas,Brenham,Washington,339582.0,12,2,0,12,5
321,55433,MN,Minnesota,Minneapolis,Anoka,255532.0,12,10,9,12,12
322,85624,AZ,Arizona,Patagonia,Santa Cruz,406612.0,12,2,0,12,0
323,22713,VA,Virginia,Boston,Culpeper,451021.0,12,0,0,12,0
324,44017,OH,Ohio,Berea,Cuyahoga,170143.0,12,12,12,12,12
325,73102,OK,Oklahoma,Oklahoma City,Oklahoma,348102.0,12,0,12,3,0
326,90504,CA,California,Torrance,Los Angeles,847432.0,12,11,12,12,12
327,95472,CA,California,Sebastopol,Sonoma,913009.0,12,12,12,12,8
328,54228,WI,Wisconsin,Mishicot,Manitowoc,159489.0,12,4,9,12,0
329,14108,NY,New York,Newfane,Niagara,148233.0,12,6,0,12,0
330,18944,PA,Pennsylvania,Perkasie,Bucks,316670.0,12,9,12,12,12
331,78613,TX,Texas,Cedar Park,Williamson,444852.0,12,3,12,12,12
332,2472,MA,Massachusetts,Watertown,Middlesex,727647.0,12,12,12,12,12
333,40370,KY,Kentucky,Sadieville,Scott,235863.0,12,0,0,12,3
334,98447,WA,Washington,Tacoma,Pierce,525000.0,3,0,0,3,0
335,77021,TX,Texas,Houston,Harris,271166.0,12,12,6,12,10
336,30256,GA,Georgia,Meansville,Pike,277442.0,12,0,0,12,0
337,84405,UT,Utah,Ogden,Weber,361429.0,12,12,12,12,12
338,45160,OH,Ohio,Owensville,Clermont,180880.0,10,4,0,9,0
339,53538,WI,Wisconsin,Fort Atkinson,Jefferson,224278.0,12,12,12,12,6
340,10537,NY,New York,Lake Peekskill,Putnam,328627.0,12,6,0,12,0
341,12144,NY,New York,Rensselaer,Rensselaer,216333.0,12,3,12,12,12
342,8857,NJ,New Jersey,Old Bridge,Middlesex,393842.0,12,4,12,12,3
343,33702,FL,Florida,Saint Petersburg,Pinellas,278308.0,12,11,12,12,12
344,92028,CA,California,Fallbrook,San Diego,668702.0,12,11,12,12,10
345,2460,MA,Massachusetts,Newtonville,Middlesex,1091257.0,12,12,12,12,12
346,2171,MA,Massachusetts,Quincy,Norfolk,641891.0,12,12,12,12,12
347,73099,OK,Oklahoma,Yukon,Canadian,220089.0,12,9,8,12,3
348,2763,MA,Massachusetts,Attleboro Falls,Bristol,472477.0,12,0,0,12,7
349,30349,GA,Georgia,Atlanta,Fulton,198488.0,12,12,12,12,12
350,49548,MI,Michigan,Grand Rapids,Kent,202510.0,12,12,12,12,0
351,33432,FL,Florida,Boca Raton,Palm Beach,1025120.0,12,12,12,12,12
352,44312,OH,Ohio,Akron,Summit,145612.0,12,10,12,12,0
353,60113,IL,Illinois,Creston,Ogle,142667.0,3,0,0,3,0
354,19406,PA,Pennsylvania,King Of Prussia,Montgomery,368789.0,12,0,12,12,12
355,76063,TX,Texas,Mansfield,Tarrant,366450.0,12,11,12,12,7
